ONS ID,Constituency name,First party,Second party,Con,Lab,LD,BRX,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,other,Of which other winner,q,r
E14000903,Rother Valley,Con,Lab,21970,15652,2553,6264,1219,0,0,0,0,0,0,0,1040,0,1,4
E14000905,Rugby,Con,Lab,29255,15808,4207,0,1544,0,0,0,0,0,0,0,0,0,0,-3
E14000906,"Ruislip, Northwood and Pinner",Con,Lab,29391,12997,7986,0,1646,0,0,0,0,0,0,0,884,0,1,-7
E14000907,Runnymede and Weybridge,Con,Lab,29262,10992,9236,0,1876,0,0,0,0,0,0,0,1923,0,-1,-12
E14000908,Rushcliffe,Con,Lab,28765,21122,9600,0,0,0,0,0,0,0,0,0,1018,0,3,1
S14000056,Rutherglen and Hamilton West,SNP,Lab,8054,18545,2791,0,0,23775,0,0,0,0,0,0,629,0,-9,17
E14000909,Rutland and Melton,Con,Lab,36507,9583,7970,0,2875,0,0,0,0,0,0,0,1375,0,4,2
E14000910,Saffron Walden,Con,LD,39714,8305,12120,0,2947,0,0,0,0,0,0,0,0,0,7,-2
E14000911,Salford and Eccles,Lab,Con,12428,28755,3099,4290,2060,0,0,0,0,0,0,0,0,0,-7,5
E14000912,Salisbury,Con,LD,30280,9675,10544,0,2486,0,0,0,0,0,0,0,745,0,-6,-11
E14000913,Scarborough and Whitby,Con,Lab,27593,17323,3038,0,0,0,0,0,0,0,0,0,1770,0,2,11
E14000914,Scunthorpe,Con,Lab,20306,13855,875,2044,670,0,0,0,0,0,0,0,0,0,2,6
E14000915,Sedgefield,Con,Lab,19609,15096,1955,3518,994,0,0,0,0,0,0,0,394,0,-1,13
E14000916,Sefton Central,Lab,Con,14132,29254,3386,2425,1261,0,0,0,0,0,0,0,422,0,-9,8
E14000917,Selby and Ainsty,Con,Lab,33995,13858,4842,0,1823,0,0,0,0,0,0,0,1900,0,2,8
E14000918,Sevenoaks,Con,LD,30932,6946,10114,0,1974,0,0,0,0,0,0,0,990,0,9,-13
E14000921,"Sheffield, Brightside and Hillsborough",Lab,Con,10095,22369,1517,3855,1179,0,0,0,0,0,0,0,585,0,-2,5
E14000919,Sheffield Central,Lab,Con,6695,33968,3237,1969,4570,0,0,0,0,0,0,0,474,0,-1,4
E14000922,"Sheffield, Hallam",Lab,LD,14696,19709,18997,1562,1630,0,0,0,0,0,0,0,291,0,-3,5
E14000923,"Sheffield, Heeley",Lab,Con,12955,21475,2916,3538,1811,0,0,0,0,0,0,0,0,0,-2,4
E14000920,Sheffield South East,Lab,Con,15070,19359,2125,4478,0,0,0,0,0,0,0,0,966,0,0,4
E14000924,Sherwood,Con,Lab,32049,15863,2883,0,1214,0,0,0,0,0,0,0,700,0,2,3
E14000925,Shipley,Con,Lab,27437,21195,3188,0,1301,0,0,0,0,0,0,0,883,0,-2,10
E14000926,Shrewsbury and Atcham,Con,Lab,31021,19804,5906,0,1762,0,0,0,0,0,0,0,572,0,-9,-1
E14000927,Sittingbourne and Sheppey,Con,Lab,34742,10263,3213,0,1188,0,0,0,0,0,0,0,1988,0,12,-10
E14000928,Skipton and Ripon,Con,Lab,34919,11225,8701,0,2748,0,0,0,0,0,0,0,1131,0,-4,11
